unique_id,age,gender,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,bfi_logical_number_violation,bfi_questionnaire_inclusion,mean_extroversion,mean_conscient,mean_neuroticism,mean_agreeable,mean_openness,bfi_mean_violation,D,mean1,mean2,SD,d_score_range,iat_completed_trials,proportion_fast_reaction_time,proportion_low_accuracy_iat,exclude_accuracy,exclude_duplicate_data,exclude_participant
440109,46,other/missing/error,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,3,3,5,5,5,5,2,2,2,4,2,4,2,3,3,4,6,4,3,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,2.625,4.777777777777778,3.875,NA,NA,include,-0.3998360512190347,797,666.55,326.2587243003209,include,include,0,0.025,include,include,include
355243,27,other/missing/error,4,4,4,4,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,6,4,5,4,5,3,include,include,NA,NA,NA,4.222222222222222,4.4,include,-0.3434216186309965,1017.6,895.4375,355.7216359499562,include,include,0,0.008333333333333333,include,include,include
214625,20,other/missing/error,2,4,4,4,5,6,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,6,4,4,3,4,5,include,include,NA,NA,NA,4.333333333333333,4.2,include,-0.3807108630693079,708.475,642.7375,172.67040785235656,include,include,0,0.041666666666666664,include,include,include
214148,20,other/missing/error,1,4,6,4,4,2,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,4,4,4,4,2,4,5,include,include,NA,NA,NA,3.5555555555555554,3.8,include,0.11637294476883331,736.45,766.2375,255.9658523651755,include,include,0,0.11666666666666667,include,include,include
213400,29,other/missing/error,5,4,6,3,5,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,5,2,3,3,4,1,include,include,NA,NA,NA,5,3,include,-0.2559084153616312,926.475,807.4625,465.05895412552263,include,include,0,0.11666666666666667,include,include,include
216503,33,other/missing/error,4,5,1,2,4,2,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,5,4,5,5,6,3,include,include,NA,NA,NA,3.3333333333333335,4.8,include,0.21209069738980843,1014.925,1406.3625,1845.613715346337,include,include,0,0.19166666666666668,include,include,include
369479,28,other/missing/error,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,2,3,6,4,6,3,6,4,4,5,5,5,4,6,2,2,4,5,3,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4.875,4.222222222222222,3,NA,NA,include,-0.15485518453796526,697.425,644.3625,342.6588535496586,include,include,0,0.03333333333333333,include,include,include
220525,33,other/missing/error,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,3,5,6,6,6,3,6,3,3,5,3,6,1,5,4,5,5,4,4,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4,5,4.25,NA,NA,include,0.17211157816499234,610.825,644.425,195.22219456839645,include,include,0,0.016666666666666666,include,include,include
225948,23,other/missing/error,3,5,4,3,2,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,5,5,6,4,6,6,include,include,NA,NA,NA,3.5555555555555554,5.3,include,-0.5165614475236541,905.15,734.775,329.8252334098129,include,include,0,0.016666666666666666,include,include,include
227399,16,other/missing/error,2,3,2,3,4,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,5,3,2,4,3,5,3,include,include,NA,NA,NA,2.3333333333333335,3.9,include,0.10128785747529007,718.5,749.775,308.77343819450175,include,include,0,0.058333333333333334,include,include,include
228671,18,other/missing/error,5,5,6,6,5,3,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,5,5,6,include,include,NA,NA,NA,5.333333333333333,4.9,include,-0.47792567274045583,1062.65,728.5875,698.9842125125122,include,include,0,0.11666666666666667,include,include,include
232178,27,other/missing/error,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,3,2,5,2,2,4,3,2,NA,3,5,2,4,6,5,6,6,6,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,3.2857142857142856,3.3333333333333335,5.625,NA,NA,include,-0.35078270430631386,840.9,755.6625,242.99231106208714,include,include,0,0.05,include,include,include
232474,30,other/missing/error,4,6,5,4,5,3,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,6,6,6,include,include,NA,NA,NA,4.222222222222222,5.9,include,-0.03987338126605477,725.575,713.1875,310.6709189608116,include,include,0,0.06666666666666667,include,include,include
233978,44,other/missing/error,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,3,6,6,5,5,3,4,2,5,4,3,5,3,6,2,2,4,2,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,include,4,5,2.5,NA,NA,include,-0.560702130589431,830.225,718.6125,199.05845530258438,include,include,0,0.025,include,include,include
235367,21,other/missing/error,1,2,4,5,2,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,5,5,5,4,4,6,include,include,NA,NA,NA,2.3333333333333335,5.2,include,0.10893215777285095,1221.675,1315.3,859.4798993629598,include,include,0,0.06666666666666667,include,include,include
